Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Class
0.083048,0.063974,0.04036,0.27734,0.11216,0.04492,5
0.082767,0.064167,0.041026,0.28594,0.117527,0.046845,4
0.083185,0.064195,0.039808,0.277274,0.115003,0.044253,4
0.083026,0.065093,0.040581,0.298281,0.120943,0.046236,4
0.085368,0.065722,0.039733,0.290589,0.125819,0.049418,3
0.081551,0.066218,0.040021,0.269076,0.105717,0.041276,5
0.085421,0.06638,0.039613,0.295809,0.129122,0.049437,5
0.085887,0.066664,0.040439,0.314992,0.125192,0.047217,5
0.083143,0.066796,0.040812,0.316847,0.11755,0.045126,4
0.084852,0.066983,0.045795,0.228933,0.122042,0.057599,3
0.0862,0.067084,0.040971,0.295813,0.122974,0.049331,5
0.08435,0.067137,0.043197,0.29657,0.110392,0.041834,4
0.085959,0.067145,0.039553,0.30729,0.119945,0.044468,5
0.083532,0.067243,0.041596,0.305826,0.120758,0.047921,3
0.084366,0.067277,0.041914,0.335014,0.124835,0.047159,3
0.086039,0.06728,0.040924,0.307562,0.13553,0.0531,5
0.083529,0.067404,0.041561,0.307722,0.129126,0.052311,3
0.083973,0.067527,0.043513,0.293241,0.120604,0.049208,4
0.085276,0.067587,0.043951,0.287732,0.115199,0.046451,5
0.08614,0.067681,0.040912,0.306948,0.134615,0.053173,5
0.084077,0.067777,0.04195,0.294314,0.11655,0.045744,3
0.084717,0.067787,0.043099,0.319839,0.143365,0.059743,4
0.08409,0.067792,0.044196,0.28379,0.131251,0.056063,4
0.083726,0.067809,0.046653,0.226129,0.11245,0.051487,4
0.085208,0.067822,0.039953,0.306817,0.129879,0.050155,4
0.082164,0.06795,0.039936,0.292771,0.11327,0.044083,5
0.082892,0.067979,0.041396,0.287062,0.120195,0.04908,3
0.089176,0.067991,0.042614,0.310073,0.118487,0.044006,5
0.083106,0.068021,0.042541,0.283123,0.113191,0.04577,5
0.085856,0.068078,0.041848,0.322265,0.139938,0.056572,5
0.086185,0.068095,0.040123,0.323945,0.130334,0.04944,5
0.086145,0.068139,0.043286,0.31613,0.120019,0.046594,4
0.089408,0.068169,0.043068,0.319921,0.126706,0.048385,4
0.082777,0.068194,0.042389,0.267827,0.126768,0.054334,3
0.086252,0.068242,0.041572,0.31279,0.131246,0.051443,4
0.089506,0.068388,0.041821,0.310457,0.122019,0.045736,5
0.090866,0.068399,0.043919,0.276642,0.120494,0.044753,5
0.083586,0.068478,0.043855,0.271999,0.107941,0.044153,4
