"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0,0.092,0.08,0.057,0.326,0.211,0.106,1
"2",0.077,0.093,0.084,0.066,0.311,0.188,0.1,1
"3",0.025,0.093,0.087,0.057,0.369,0.217,0.099,1
"4",0.006,0.104,0.089,0.081,0.278,0.231,0.132,1
"5",0.008,0.087,0.071,0.043,0.342,0.166,0.071,1
"6",0.059,0.097,0.08,0.072,0.244,0.241,0.142,1
"7",0.097,0.091,0.076,0.045,0.343,0.17,0.069,1
"8",0,0.099,0.089,0.079,0.288,0.236,0.134,1
"9",0.082,0.097,0.088,0.074,0.33,0.237,0.127,1
"10",0.055,0.091,0.078,0.055,0.321,0.194,0.093,1
"11",0.085,0.093,0.082,0.061,0.31,0.215,0.106,1
"12",0.038,0.093,0.082,0.058,0.3,0.221,0.108,1
"13",0.044,0.09,0.077,0.051,0.334,0.184,0.082,1
"14",0.013,0.091,0.087,0.053,0.43,0.219,0.096,1
"15",0.089,0.097,0.084,0.077,0.261,0.226,0.133,1
"16",0,0.096,0.089,0.068,0.356,0.246,0.125,1
"17",0.078,0.105,0.096,0.096,0.249,0.227,0.139,1
"18",0.033,0.094,0.086,0.059,0.368,0.217,0.1,1
"19",0.049,0.092,0.079,0.059,0.297,0.217,0.107,1
"20",0.013,0.097,0.09,0.07,0.339,0.265,0.138,1
"21",0.044,0.108,0.1,0.105,0.233,0.221,0.142,1
"22",0.006,0.105,0.097,0.104,0.218,0.208,0.133,1
"23",0.064,0.091,0.086,0.053,0.405,0.223,0.101,1
"24",0.012,0.091,0.086,0.051,0.42,0.213,0.093,1
"25",0.017,0.1,0.086,0.078,0.266,0.192,0.109,1
"26",0.065,0.09,0.075,0.052,0.289,0.184,0.087,1
"27",0.067,0.092,0.079,0.053,0.37,0.192,0.084,1
"28",0.011,0.093,0.088,0.061,0.406,0.232,0.111,1
"29",0.092,0.095,0.081,0.065,0.281,0.208,0.109,1
"30",0.084,0.09,0.082,0.048,0.393,0.186,0.077,1
"31",0.013,0.102,0.092,0.081,0.298,0.253,0.173,1
"32",0.033,0.094,0.083,0.062,0.3,0.231,0.117,1
"33",0.041,0.09,0.078,0.055,0.324,0.186,0.091,1
"34",0.064,0.091,0.076,0.053,0.3,0.191,0.089,1
"35",0.08,0.099,0.091,0.086,0.28,0.205,0.116,1
"36",0.069,0.089,0.077,0.051,0.362,0.181,0.08,1
"37",0.055,0.094,0.084,0.062,0.321,0.235,0.118,1
"38",0.001,0.092,0.08,0.06,0.303,0.219,0.111,1
"39",0.077,0.091,0.083,0.053,0.381,0.213,0.098,1
"40",0.003,0.091,0.079,0.053,0.324,0.187,0.09,1
"41",0.053,0.11,0.093,0.09,0.231,0.212,0.169,1
"42",0.015,0.094,0.086,0.064,0.362,0.244,0.124,1
"43",0.046,0.089,0.079,0.049,0.39,0.202,0.089,1
"44",0,0.09,0.077,0.052,0.352,0.195,0.089,1
"45",0.058,0.098,0.08,0.074,0.238,0.231,0.15,1
"46",0.018,0.097,0.092,0.07,0.378,0.254,0.128,1
"47",0,0.105,0.095,0.1,0.238,0.215,0.136,1
"48",0.003,0.099,0.085,0.079,0.245,0.261,0.153,1
"49",0.116,0.101,0.093,0.087,0.278,0.217,0.127,1
"50",0.114,0.089,0.076,0.047,0.349,0.183,0.079,1
"51",0.185,0.091,0.079,0.056,0.315,0.207,0.1,1
"52",0.111,0.092,0.084,0.055,0.363,0.214,0.099,1
"53",0.108,0.099,0.086,0.081,0.266,0.281,0.164,1
"54",0.16,0.087,0.072,0.044,0.33,0.158,0.067,1
"55",0.2,0.093,0.08,0.06,0.344,0.209,0.098,1
"56",0.19,0.096,0.078,0.057,0.288,0.17,0.077,1
"57",0.158,0.09,0.072,0.057,0.253,0.139,0.077,1
"58",0.128,0.091,0.083,0.052,0.417,0.223,0.1,1
"59",0.167,0.09,0.075,0.046,0.345,0.169,0.069,1
"60",0.139,0.099,0.087,0.082,0.239,0.209,0.125,1
"61",0.155,0.087,0.075,0.052,0.307,0.156,0.07,1
"62",0.144,0.09,0.08,0.052,0.365,0.206,0.093,1
"63",0.111,0.1,0.087,0.076,0.286,0.204,0.114,1
"64",0.137,0.099,0.084,0.063,0.315,0.199,0.095,1
"65",0.151,0.091,0.075,0.046,0.339,0.165,0.068,1
"66",0.184,0.089,0.077,0.049,0.335,0.183,0.081,1
"67",0.151,0.092,0.082,0.057,0.345,0.216,0.1,1
"68",0.117,0.098,0.086,0.08,0.271,0.239,0.14,1
"69",0.183,0.09,0.077,0.048,0.383,0.178,0.072,1
