",""frci"",""Band_2"",""Band_3"",""Band_4"",""Band_5"",""Band_6"",""Band_7"",""DEM"",""ASPECT_R"",""SLOPE_R"",""cluster"""
1,0.502102725602023,0.023608967139857,-0.207421815768162,-0.382713428314316,0.0886602416787358,-0.492559030727719,-0.541318758245125,0.112883249340239,0.0086470765643655,1.19279023723975,1
2,0.733074047799986,0.0437497479002094,-0.310946394670971,-0.425342862905047,-0.0208287851675026,-0.685664757037958,-0.638533735367292,0.102772139573858,0.244624566149716,1.64005732262629,1
3,-0.277159220713277,0.410949043261352,0.83031843142053,-0.153881206973485,1.73737360181103,-0.0961915538875574,-0.290880507987571,0.0319943712091893,0.344684461157399,2.05701340636132,1
4,-0.410303793686947,0.156217401636074,0.371574256507538,-0.188397776988372,1.17041123285167,0.0241667279095944,-0.17254718082191,-0.0286722873890984,0.256599796937605,1.55457002305321,1
5,-0.606068126927254,-0.142857093138304,0.190453164710753,-0.334166025527559,1.01297512301676,0.00943913650279211,-0.185115214653334,-0.0488945069218609,-0.150923511116706,1.12836651508552,1
6,0.463603236056686,-0.257228224796652,0.0520215860101923,-0.309844936383179,1.06767304991769,0.544998656587218,0.0734069937381206,-0.0185611776227171,-0.150923511116706,1.12836651508552,1
7,1.38418110858226,-0.20626973352966,-0.194747211163661,-0.271778429495852,1.15455973435536,0.499925428529937,0.0594523582714859,0.0319943712091893,-0.193028048606561,0.950815969818362,1
8,0.881500027703507,-0.867915384491584,-0.885875457513703,-0.788110808247664,0.0404144656322126,-0.542579449473867,-0.514957309260381,0.133105468873002,0.187842084322965,1.41565316124696,1
9,1.08611395514931,-1.04268648881599,-1.3357832932135,-0.984373433776569,-1.28558162824382,-1.26087614584096,-0.961082226873993,0.173549907938527,0.187842084322965,1.41565316124696,1
10,0.988089660992814,-0.682107150383989,-0.381220922437657,-0.66816444815313,-0.423524774546773,-0.872265438374532,-0.735316063978136,0.19377212747129,0.0220416569204437,1.18571767018773,1
11,0.932093985340898,-0.45816584030223,-0.37736190981754,-0.601059148971607,0.198911842506833,-0.646574251325376,-0.683221137101753,0.163438798172146,-0.129182815335711,1.11744085460322,1
12,0.98752974517205,-0.250331853005334,-0.215718966622444,-0.534560355047171,0.411306309791953,-0.495785894091985,-0.578939623919641,0.122994359106621,-0.163247204972235,0.829965834985189,1
13,0.251246860376671,-0.364500524575028,-0.439100187880974,-0.479054658445056,0.591806326171414,-0.645365341056858,-0.688828184027027,0.0926610298074769,-0.116272683634643,0.571311954225626,1
14,0.661092682710928,-0.619127709763204,-0.752540477437812,-0.659270568975906,-0.128886750363552,-0.790552520229758,-0.722714718273276,0.0724388102747143,-0.0147254462650857,0.378879905887753,1
15,0.85883074490669,-1.05887943675255,-1.12631478484197,-0.875243950314051,-0.537131372191854,-0.894073601001271,-0.754912905148853,0.143216578639383,-0.0397212970437825,0.821009533367257,1
16,1.05503045626357,-0.65323699261223,-0.960309046355356,-0.729014723029497,-0.273329496429349,-0.462427071348264,-0.553928735369684,0.0724388102747143,0.062531365560264,0.201825981551609,1
17,0.722626312017668,-0.898378925604018,-1.04933967742415,-0.860276859904558,-0.457504862987276,-0.828378561598166,-0.661602738063552,0.133105468873002,0.0369235796383961,0.622772157594434,1
18,1.2261335998749,-0.485679053526297,-0.562615688807605,-0.559937253968743,0.511712186448492,-0.0740930257134522,-0.32087561319509,0.0724388102747143,-0.075663987605873,0.354665354285925,1
