"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster"
"1",544,"Point",1,"Sangat Rendah",0,0.119028,0.096263,0.088627,0.067901,0.356388,0.246095,0.124561,0.001402,1
"2",684,"Point",1,"Sangat Rendah",0,0.113155,0.089109,0.072956,0.050277,0.299869,0.164176,0.080432,0.001548,1
"3",686,"Point",1,"Sangat Rendah",0,0.124964,0.104814,0.095479,0.100075,0.23762,0.215206,0.135871,0.001697,1
"4",723,"Point",1,"Sangat Rendah",0,0.120681,0.099382,0.089137,0.079335,0.288038,0.236145,0.133857,0.001737,1
"5",739,"Point",1,"Sangat Rendah",0,0.113995,0.090231,0.077047,0.051841,0.352246,0.195241,0.0887,0.00142,1
"6",742,"Point",1,"Sangat Rendah",0,0.114693,0.091302,0.083048,0.052883,0.381807,0.207427,0.092613,0.001679,1
"7",747,"Point",1,"Sangat Rendah",0,0.114869,0.091947,0.079719,0.056808,0.32606,0.210839,0.105775,0.001981,1
"8",598,"Point",1,"Sangat Rendah",0.000725,0.121385,0.100535,0.093348,0.084056,0.304079,0.295328,0.168134,0.001765,1
"9",748,"Point",1,"Sangat Rendah",0.001227,0.115267,0.091771,0.079758,0.059821,0.303024,0.219207,0.110653,0.001437,1
"10",770,"Point",1,"Sangat Rendah",0.002853,0.119644,0.098823,0.084607,0.078831,0.244824,0.26117,0.15263,0.001343,1
"11",749,"Point",1,"Sangat Rendah",0.003128,0.113827,0.090765,0.079378,0.052709,0.323709,0.187276,0.089505,0.001654,1
"12",623,"Point",1,"Sangat Rendah",0.003539,0.120718,0.098917,0.085809,0.079818,0.262337,0.258373,0.155106,0.001598,1
"13",546,"Point",1,"Sangat Rendah",0.003939,0.119032,0.09621,0.090321,0.071474,0.364939,0.250433,0.125678,0.001536,1
"14",754,"Point",1,"Sangat Rendah",0.005782,0.125484,0.103918,0.088832,0.081193,0.278454,0.230599,0.131723,0.00146,1
"15",688,"Point",1,"Sangat Rendah",0.006452,0.125439,0.10482,0.097189,0.103842,0.21819,0.208005,0.133461,0.00197,1
"16",778,"Point",1,"Sangat Rendah",0.007072,0.12095,0.100436,0.087984,0.084811,0.24165,0.270707,0.168314,0.001319,1
"17",730,"Point",1,"Sangat Rendah",0.008108,0.111513,0.086969,0.071393,0.043222,0.342215,0.166311,0.071144,0.001834,1
"18",728,"Point",1,"Sangat Rendah",0.008677,0.112484,0.087869,0.074509,0.046285,0.355198,0.173956,0.074576,0.00169,1
"19",680,"Point",1,"Sangat Rendah",0.008705,0.11929,0.098399,0.086328,0.081159,0.262968,0.281465,0.170427,0.00183,1
"20",587,"Point",1,"Sangat Rendah",0.008846,0.115298,0.091822,0.084434,0.054612,0.385197,0.215833,0.099036,0.001475,1
"21",621,"Point",1,"Sangat Rendah",0.011076,0.117201,0.095799,0.08073,0.073553,0.229405,0.257908,0.150538,0.001669,1
"22",796,"Point",1,"Sangat Rendah",0.01122,0.10903,0.084676,0.067421,0.044004,0.277983,0.135254,0.060653,0.001495,1
"23",559,"Point",1,"Sangat Rendah",0.011485,0.115279,0.092998,0.087772,0.06069,0.405913,0.231782,0.110753,0.001827,1
"24",743,"Point",1,"Sangat Rendah",0.012047,0.113986,0.090701,0.085854,0.0512,0.419854,0.212652,0.092642,0.001543,1
"25",773,"Point",1,"Sangat Rendah",0.012558,0.114446,0.091315,0.087298,0.052516,0.430332,0.219127,0.096445,0.001458,1
"26",561,"Point",1,"Sangat Rendah",0.012751,0.122504,0.101956,0.091763,0.081289,0.298411,0.253404,0.173253,0.001831,1
"27",596,"Point",1,"Sangat Rendah",0.013278,0.118775,0.097427,0.090024,0.069827,0.338991,0.264674,0.137808,0.001951,1
"28",595,"Point",1,"Sangat Rendah",0.014843,0.119646,0.097855,0.090624,0.07335,0.343801,0.267496,0.142918,0.001554,1
"29",772,"Point",1,"Sangat Rendah",0.015083,0.116942,0.094191,0.085996,0.063659,0.361794,0.244444,0.124066,0.00178,1
"30",683,"Point",1,"Sangat Rendah",0.016372,0.11972,0.098339,0.088013,0.079468,0.268842,0.195579,0.111811,0.001805,1
"31",827,"Point",1,"Sangat Rendah",0.016842,0.112493,0.089411,0.079107,0.059725,0.297967,0.173553,0.084258,0.001369,1
"32",741,"Point",1,"Sangat Rendah",0.017375,0.115963,0.092852,0.087616,0.058425,0.362445,0.221915,0.101828,0.001557,1
"33",685,"Point",1,"Sangat Rendah",0.017472,0.121063,0.100498,0.085903,0.077681,0.266073,0.192092,0.109184,0.001274,1
"34",543,"Point",1,"Sangat Rendah",0.018373,0.118966,0.09732,0.092322,0.07044,0.378014,0.254129,0.128335,0.001413,1
"35",769,"Point",1,"Sangat Rendah",0.019492,0.11577,0.093273,0.079362,0.066996,0.271196,0.234438,0.128259,0.001314,1
"36",602,"Point",1,"Sangat Rendah",0.020596,0.11749,0.094426,0.085011,0.063119,0.322656,0.230976,0.114857,0.001387,1
"37",775,"Point",1,"Sangat Rendah",0.020635,0.117956,0.095657,0.087913,0.062834,0.343307,0.234404,0.11124,0.001631,1
"38",767,"Point",1,"Sangat Rendah",0.022121,0.117191,0.096001,0.081042,0.074643,0.238442,0.245275,0.150824,0.001384,1
"39",599,"Point",1,"Sangat Rendah",0.022826,0.120073,0.098922,0.091729,0.081806,0.319148,0.278006,0.154786,0.001803,1
"40",589,"Point",1,"Sangat Rendah",0.023499,0.116954,0.094174,0.086974,0.058608,0.360537,0.215495,0.099909,0.001221,1
"41",597,"Point",1,"Sangat Rendah",0.023692,0.120313,0.099622,0.092935,0.079727,0.342247,0.287988,0.158276,0.001442,1
"42",558,"Point",1,"Sangat Rendah",0.024268,0.114111,0.091471,0.085782,0.052196,0.426817,0.230712,0.106758,0.001444,1
"43",766,"Point",1,"Sangat Rendah",0.02435,0.119023,0.0967,0.082796,0.07914,0.226122,0.23419,0.144096,0.00175,1
"44",774,"Point",1,"Sangat Rendah",0.024811,0.115809,0.09257,0.086614,0.056982,0.369437,0.216945,0.09927,0.001491,1
"45",651,"Point",1,"Sangat Rendah",0.028158,0.115796,0.092457,0.083305,0.059521,0.319919,0.222218,0.108661,0.001537,1
"46",590,"Point",1,"Sangat Rendah",0.032781,0.117635,0.094216,0.085936,0.058819,0.368468,0.216757,0.099789,0.001777,1
"47",601,"Point",1,"Sangat Rendah",0.033089,0.117395,0.094354,0.08291,0.062282,0.30034,0.231264,0.116651,0.001852,1
"48",572,"Point",1,"Sangat Rendah",0.034298,0.121029,0.100493,0.08859,0.091159,0.236272,0.27189,0.169948,0.001743,1
"49",594,"Point",1,"Sangat Rendah",0.034888,0.117608,0.094585,0.085041,0.062641,0.352649,0.230306,0.116218,0.001601,1
"50",560,"Point",1,"Sangat Rendah",0.03519,0.122537,0.102571,0.093818,0.099262,0.260127,0.266048,0.189752,0.001629,1
"51",649,"Point",1,"Sangat Rendah",0.038206,0.115921,0.092508,0.081627,0.057596,0.29966,0.220883,0.107781,0.001775,1
"52",600,"Point",1,"Sangat Rendah",0.039612,0.117873,0.096292,0.089216,0.068374,0.340862,0.254149,0.131654,0.00174,1
"53",830,"Point",1,"Sangat Rendah",0.040534,0.112903,0.090109,0.078059,0.054662,0.323555,0.186451,0.090505,0.001646,1
"54",724,"Point",1,"Sangat Rendah",0.043792,0.126284,0.107875,0.099896,0.104726,0.233381,0.221423,0.141788,0.001557,1
"55",732,"Point",1,"Sangat Rendah",0.044384,0.113241,0.090307,0.077133,0.051049,0.334037,0.184053,0.082344,0.00171,1
"56",604,"Point",1,"Sangat Rendah",0.045232,0.11791,0.094471,0.080814,0.061929,0.302765,0.212083,0.110236,0.002124,1
"57",744,"Point",1,"Sangat Rendah",0.046152,0.113457,0.089246,0.079325,0.049438,0.390353,0.201599,0.088874,0.00126,1
"58",551,"Point",1,"Sangat Rendah",0.04672,0.115677,0.092121,0.082787,0.054126,0.369855,0.208336,0.093276,0.002024,1
"59",591,"Point",1,"Sangat Rendah",0.046882,0.116453,0.093393,0.083462,0.05503,0.378048,0.230155,0.106706,0.001532,1
"60",622,"Point",1,"Sangat Rendah",0.047955,0.116627,0.094395,0.078232,0.064869,0.273557,0.192306,0.104978,0.001649,1
"61",746,"Point",1,"Sangat Rendah",0.048846,0.115136,0.091974,0.078883,0.059287,0.296966,0.216576,0.107007,0.001164,1
"62",632,"Point",1,"Sangat Rendah",0.049333,0.117023,0.094684,0.084299,0.069101,0.318144,0.261474,0.137441,0.001647,1
"63",562,"Point",1,"Sangat Rendah",0.05036,0.123532,0.103665,0.089089,0.095317,0.189945,0.249468,0.183239,0.00194,1
"64",815,"Point",1,"Sangat Rendah",0.053294,0.129136,0.109616,0.092952,0.090201,0.230842,0.212248,0.169096,0.001578,1
"65",593,"Point",1,"Sangat Rendah",0.054391,0.117052,0.093684,0.084973,0.057999,0.374911,0.234184,0.110096,0.001748,1
"66",738,"Point",1,"Sangat Rendah",0.054502,0.117291,0.095044,0.086106,0.059643,0.362481,0.23645,0.112019,0.001737,1
"67",729,"Point",1,"Sangat Rendah",0.054965,0.115191,0.09106,0.077784,0.054856,0.321479,0.194017,0.092748,0.001724,1
"68",650,"Point",1,"Sangat Rendah",0.055068,0.116855,0.094471,0.08374,0.061799,0.320974,0.235489,0.118045,0.001668,1
"69",545,"Point",1,"Sangat Rendah",0.056525,0.114145,0.091329,0.080661,0.053389,0.360935,0.209784,0.094486,0.001756,1
"70",678,"Point",1,"Sangat Rendah",0.057789,0.116227,0.09363,0.085003,0.060888,0.404896,0.235193,0.117764,0.001542,1
"71",758,"Point",1,"Sangat Rendah",0.058047,0.120128,0.097543,0.080095,0.073548,0.238241,0.230659,0.150207,0.001917,1
