"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster","kelas"
"1",740,"Point",1,"Sangat Rendah",0.090133,0.115325,0.092386,0.085162,0.05821,0.372656,0.226594,0.103754,0.001606,1,1
"2",744,"Point",1,"Sangat Rendah",0.046152,0.113457,0.089246,0.079325,0.049438,0.390353,0.201599,0.088874,0.00126,1,1
"3",828,"Point",1,"Sangat Rendah",0.081425,0.113043,0.090551,0.078368,0.058903,0.303942,0.191048,0.096192,0.001594,1,1
"4",748,"Point",1,"Sangat Rendah",0.001227,0.115267,0.091771,0.079758,0.059821,0.303024,0.219207,0.110653,0.001437,1,1
"5",648,"Point",1,"Sangat Rendah",0.06492,0.113652,0.089947,0.075006,0.051816,0.288929,0.183885,0.086986,0.001613,1,1
"6",739,"Point",1,"Sangat Rendah",0,0.113995,0.090231,0.077047,0.051841,0.352246,0.195241,0.0887,0.00142,1,1
"7",631,"Point",1,"Sangat Rendah",0.097817,0.116756,0.094421,0.081093,0.065487,0.299255,0.252669,0.135005,0.001631,1,1
"8",532,"Point",1,"Sangat Rendah",0.061057,0.116241,0.093238,0.08374,0.05882,0.328662,0.22442,0.106906,0.001421,1,1
"9",558,"Point",1,"Sangat Rendah",0.024268,0.114111,0.091471,0.085782,0.052196,0.426817,0.230712,0.106758,0.001444,1,1
"10",855,"Point",1,"Sangat Rendah",0.098062,0.13156,0.111076,0.094709,0.094209,0.21355,0.204267,0.154525,0.001311,1,1
"11",686,"Point",1,"Sangat Rendah",0,0.124964,0.104814,0.095479,0.100075,0.23762,0.215206,0.135871,0.001697,1,1
"12",650,"Point",1,"Sangat Rendah",0.055068,0.116855,0.094471,0.08374,0.061799,0.320974,0.235489,0.118045,0.001668,1,1
"13",622,"Point",1,"Sangat Rendah",0.047955,0.116627,0.094395,0.078232,0.064869,0.273557,0.192306,0.104978,0.001649,1,1
"14",551,"Point",1,"Sangat Rendah",0.04672,0.115677,0.092121,0.082787,0.054126,0.369855,0.208336,0.093276,0.002024,1,1
"15",725,"Point",1,"Sangat Rendah",0.078299,0.124976,0.105238,0.09643,0.096381,0.248771,0.227004,0.13892,0.002115,1,1
"16",747,"Point",1,"Sangat Rendah",0,0.114869,0.091947,0.079719,0.056808,0.32606,0.210839,0.105775,0.001981,1,1
"17",560,"Point",1,"Sangat Rendah",0.03519,0.122537,0.102571,0.093818,0.099262,0.260127,0.266048,0.189752,0.001629,1,1
"18",546,"Point",1,"Sangat Rendah",0.003939,0.119032,0.09621,0.090321,0.071474,0.364939,0.250433,0.125678,0.001536,1,1
"19",564,"Point",1,"Sangat Rendah",0.077507,0.123302,0.10416,0.09123,0.098962,0.221486,0.276644,0.185646,0.001696,1,1
"20",543,"Point",1,"Sangat Rendah",0.018373,0.118966,0.09732,0.092322,0.07044,0.378014,0.254129,0.128335,0.001413,1,1
"21",743,"Point",1,"Sangat Rendah",0.012047,0.113986,0.090701,0.085854,0.0512,0.419854,0.212652,0.092642,0.001543,1,1
"22",597,"Point",1,"Sangat Rendah",0.023692,0.120313,0.099622,0.092935,0.079727,0.342247,0.287988,0.158276,0.001442,1,1
"23",844,"Point",1,"Sangat Rendah",0.076578,0.115867,0.092959,0.083937,0.066039,0.310678,0.188038,0.100119,0.001574,1,1
"24",750,"Point",1,"Sangat Rendah",0.076914,0.115406,0.093045,0.078195,0.058345,0.280153,0.165092,0.086105,0.0018,1,1
"25",593,"Point",1,"Sangat Rendah",0.054391,0.117052,0.093684,0.084973,0.057999,0.374911,0.234184,0.110096,0.001748,1,1
"26",550,"Point",1,"Sangat Rendah",0.090635,0.115445,0.091816,0.081848,0.054006,0.363066,0.211394,0.095411,0.002164,1,1
"27",555,"Point",1,"Sangat Rendah",0.076599,0.11409,0.090772,0.083408,0.053129,0.381258,0.213355,0.097839,0.002001,1,1
"28",598,"Point",1,"Sangat Rendah",0.000725,0.121385,0.100535,0.093348,0.084056,0.304079,0.295328,0.168134,0.001765,1,1
"29",651,"Point",1,"Sangat Rendah",0.028158,0.115796,0.092457,0.083305,0.059521,0.319919,0.222218,0.108661,0.001537,1,1
"30",574,"Point",1,"Sangat Rendah",0.058912,0.117901,0.096814,0.080211,0.071983,0.243776,0.24112,0.141743,0.001819,1,1
"31",680,"Point",1,"Sangat Rendah",0.008705,0.11929,0.098399,0.086328,0.081159,0.262968,0.281465,0.170427,0.00183,1,1
"32",724,"Point",1,"Sangat Rendah",0.043792,0.126284,0.107875,0.099896,0.104726,0.233381,0.221423,0.141788,0.001557,1,1
"33",691,"Point",1,"Sangat Rendah",0.066978,0.114846,0.091671,0.079407,0.053128,0.36968,0.191737,0.084092,0.001779,1,1
"34",586,"Point",1,"Sangat Rendah",0.095299,0.115933,0.092729,0.086472,0.057432,0.420098,0.229103,0.106495,0.001472,1,1
"35",688,"Point",1,"Sangat Rendah",0.006452,0.125439,0.10482,0.097189,0.103842,0.21819,0.208005,0.133461,0.00197,1,1
"36",773,"Point",1,"Sangat Rendah",0.012558,0.114446,0.091315,0.087298,0.052516,0.430332,0.219127,0.096445,0.001458,1,1
"37",729,"Point",1,"Sangat Rendah",0.054965,0.115191,0.09106,0.077784,0.054856,0.321479,0.194017,0.092748,0.001724,1,1
"38",599,"Point",1,"Sangat Rendah",0.022826,0.120073,0.098922,0.091729,0.081806,0.319148,0.278006,0.154786,0.001803,1,1
"39",591,"Point",1,"Sangat Rendah",0.046882,0.116453,0.093393,0.083462,0.05503,0.378048,0.230155,0.106706,0.001532,1,1
"40",778,"Point",1,"Sangat Rendah",0.007072,0.12095,0.100436,0.087984,0.084811,0.24165,0.270707,0.168314,0.001319,1,1
"41",604,"Point",1,"Sangat Rendah",0.045232,0.11791,0.094471,0.080814,0.061929,0.302765,0.212083,0.110236,0.002124,1,1
"42",779,"Point",1,"Sangat Rendah",0.085661,0.118591,0.09655,0.081499,0.066845,0.29961,0.211566,0.119951,0.001469,1,1
"43",774,"Point",1,"Sangat Rendah",0.024811,0.115809,0.09257,0.086614,0.056982,0.369437,0.216945,0.09927,0.001491,1,1
"44",689,"Point",1,"Sangat Rendah",0.080084,0.1203,0.099099,0.091129,0.085768,0.280352,0.204741,0.116314,0.002006,1,1
"45",770,"Point",1,"Sangat Rendah",0.002853,0.119644,0.098823,0.084607,0.078831,0.244824,0.26117,0.15263,0.001343,1,1
"46",600,"Point",1,"Sangat Rendah",0.039612,0.117873,0.096292,0.089216,0.068374,0.340862,0.254149,0.131654,0.00174,1,1
"47",581,"Point",1,"Sangat Rendah",0.073378,0.115606,0.092038,0.086325,0.056946,0.394128,0.23573,0.109492,0.001808,1,1
"48",775,"Point",1,"Sangat Rendah",0.020635,0.117956,0.095657,0.087913,0.062834,0.343307,0.234404,0.11124,0.001631,1,1
"49",545,"Point",1,"Sangat Rendah",0.056525,0.114145,0.091329,0.080661,0.053389,0.360935,0.209784,0.094486,0.001756,1,1
"50",623,"Point",1,"Sangat Rendah",0.003539,0.120718,0.098917,0.085809,0.079818,0.262337,0.258373,0.155106,0.001598,1,1
"51",580,"Point",1,"Sangat Rendah",0.082212,0.118919,0.097276,0.088402,0.074043,0.330091,0.237095,0.127004,0.00174,1,1
"52",587,"Point",1,"Sangat Rendah",0.008846,0.115298,0.091822,0.084434,0.054612,0.385197,0.215833,0.099036,0.001475,1,1
"53",732,"Point",1,"Sangat Rendah",0.044384,0.113241,0.090307,0.077133,0.051049,0.334037,0.184053,0.082344,0.00171,1,1
"54",683,"Point",1,"Sangat Rendah",0.016372,0.11972,0.098339,0.088013,0.079468,0.268842,0.195579,0.111811,0.001805,1,1
"55",738,"Point",1,"Sangat Rendah",0.054502,0.117291,0.095044,0.086106,0.059643,0.362481,0.23645,0.112019,0.001737,1,1
"56",556,"Point",1,"Sangat Rendah",0.064827,0.114515,0.090948,0.086169,0.052471,0.413455,0.224322,0.100385,0.001474,1,1
"57",589,"Point",1,"Sangat Rendah",0.023499,0.116954,0.094174,0.086974,0.058608,0.360537,0.215495,0.099909,0.001221,1,1
"58",762,"Point",2,"Sangat Rendah",0.110814,0.121885,0.100463,0.086668,0.075677,0.286192,0.204358,0.113794,0.001637,1,2
"59",736,"Point",2,"Sangat Rendah",0.159367,0.110935,0.086072,0.07108,0.043472,0.322008,0.163269,0.071274,0.0016,1,2
"60",538,"Point",2,"Sangat Rendah",0.160278,0.112104,0.087019,0.072172,0.044055,0.329872,0.157856,0.066503,0.001634,1,2
"61",940,"Point",2,"Sangat Rendah",0.118103,0.109805,0.085355,0.072998,0.042591,0.357026,0.159039,0.065433,0.001755,1,2
"62",731,"Point",2,"Sangat Rendah",0.102975,0.116308,0.093585,0.07963,0.059944,0.325498,0.19559,0.092798,0.002,1,2
"63",853,"Point",2,"Sangat Rendah",0.154701,0.115569,0.092247,0.077091,0.061141,0.26742,0.16206,0.095349,0.00182,1,2
"64",605,"Point",2,"Sangat Rendah",0.16218,0.117373,0.094254,0.083918,0.058048,0.35536,0.223579,0.105326,0.002241,1,2
"65",333,"Point",2,"Sangat Rendah",0.167257,0.114763,0.090275,0.074622,0.045617,0.344531,0.169226,0.069046,0.001629,1,2
"66",687,"Point",2,"Sangat Rendah",0.138527,0.12055,0.098777,0.087463,0.082414,0.239291,0.208893,0.124668,0.001513,1,2
