"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.017375,0.092852,0.087616,0.058425,0.362445,0.221915,0.101828,1
"2",0.023499,0.094174,0.086974,0.058608,0.360537,0.215495,0.099909,1
"3",0.024811,0.09257,0.086614,0.056982,0.369437,0.216945,0.09927,1
"4",0.032781,0.094216,0.085936,0.058819,0.368468,0.216757,0.099789,1
"5",0.04672,0.092121,0.082787,0.054126,0.369855,0.208336,0.093276,1
"6",0.064889,0.089476,0.076557,0.047546,0.34473,0.176222,0.076867,2
"7",0.066577,0.090057,0.077297,0.050044,0.351064,0.192095,0.085383,2
"8",0.066978,0.091671,0.079407,0.053128,0.36968,0.191737,0.084092,2
"9",0.069316,0.088981,0.077067,0.051172,0.362013,0.180624,0.080045,2
"10",0.07369,0.086851,0.077031,0.046539,0.358553,0.167173,0.070278,2
"11",0.154866,0.090779,0.074474,0.045742,0.32964,0.160127,0.065434,3
"12",0.155451,0.086779,0.075158,0.05243,0.307173,0.155518,0.069635,3
"13",0.159367,0.086072,0.07108,0.043472,0.322008,0.163269,0.071274,3
"14",0.160278,0.087019,0.072172,0.044055,0.329872,0.157856,0.066503,3
"15",0.170067,0.088052,0.074674,0.050361,0.315246,0.17305,0.078617,3
"16",0.181708,0.089202,0.074437,0.047409,0.335907,0.175739,0.077473,4
"17",0.183597,0.08988,0.077472,0.052407,0.319143,0.178279,0.084711,4
"18",0.184416,0.089387,0.076815,0.049476,0.334843,0.182943,0.080655,4
"19",0.186805,0.090323,0.074317,0.045424,0.348646,0.165612,0.067334,4
"20",0.187739,0.096548,0.07947,0.057443,0.324516,0.187079,0.086857,4
"21",0.192676,0.090766,0.075662,0.046211,0.345022,0.166468,0.06849,4
"22",0.231117,0.089569,0.077077,0.046016,0.389985,0.172552,0.069841,5
"23",0.233634,0.089967,0.078281,0.046607,0.380751,0.179531,0.070846,5
"24",0.236856,0.090146,0.077482,0.046833,0.38437,0.179413,0.072653,5
"25",0.243521,0.089402,0.077013,0.046229,0.39122,0.17585,0.071804,5
"26",0.262167,0.089862,0.076939,0.04666,0.395943,0.172977,0.068906,5
"27",0.263586,0.089932,0.074998,0.045992,0.384335,0.160758,0.063976,5
"28",0.265123,0.087071,0.075903,0.043222,0.383697,0.159204,0.0641,5
"29",0.26707,0.090198,0.074637,0.044825,0.347433,0.168174,0.06811,6
"30",0.269248,0.089891,0.076042,0.046414,0.379434,0.170544,0.068414,5
"31",0.271814,0.090191,0.076794,0.045821,0.408381,0.175163,0.069647,5
"32",0.275066,0.091444,0.076672,0.047595,0.354414,0.173788,0.071124,6
"33",0.285019,0.089792,0.076196,0.049269,0.354858,0.168871,0.073612,6
"34",0.290474,0.08933,0.076867,0.046057,0.352804,0.162515,0.066959,6
"35",0.291537,0.090613,0.080089,0.048266,0.357316,0.187369,0.075959,6
"36",0.292663,0.089178,0.079026,0.047491,0.359492,0.175854,0.076133,6
"37",0.295429,0.088151,0.07324,0.043883,0.34434,0.164284,0.06743,6
"38",0.297796,0.088273,0.071523,0.043492,0.346908,0.167051,0.070925,6
"39",0.301414,0.090412,0.07289,0.044746,0.321826,0.157977,0.063885,6
"40",0.307226,0.087072,0.074297,0.048159,0.32996,0.163178,0.072856,6
"41",0.309982,0.090596,0.075761,0.050887,0.351353,0.181837,0.080033,6
"42",0.311599,0.093414,0.076274,0.048304,0.338579,0.171179,0.072041,6
"43",0.314031,0.086903,0.073226,0.047571,0.324694,0.169996,0.075404,6
"44",0.315216,0.089593,0.076084,0.046702,0.331937,0.168045,0.069993,6
"45",0.316388,0.08859,0.073322,0.04443,0.336174,0.154062,0.060607,6
"46",0.324147,0.093473,0.077662,0.047679,0.35522,0.166801,0.068506,7
"47",0.336259,0.09107,0.077367,0.046255,0.360155,0.178789,0.074786,7
"48",0.337727,0.091285,0.075062,0.055723,0.325107,0.161112,0.076508,7
"49",0.338944,0.088892,0.074204,0.047902,0.363178,0.167323,0.069233,7
"50",0.340299,0.086733,0.074049,0.045889,0.351461,0.163194,0.069173,7
"51",0.341637,0.088526,0.077422,0.047032,0.371899,0.182111,0.074589,7
"52",0.343955,0.087966,0.074393,0.047074,0.33394,0.171158,0.074366,7
"53",0.352931,0.088713,0.073821,0.045323,0.35165,0.159576,0.066626,7
"54",0.354522,0.090561,0.075767,0.046149,0.343314,0.167247,0.069509,7
"55",0.356029,0.090314,0.079037,0.049875,0.329466,0.177885,0.07568,7
"56",0.358056,0.093609,0.075557,0.049831,0.323867,0.168675,0.072686,7
