"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.019492,0.093273,0.079362,0.066996,0.271196,0.234438,0.128259,0
"2",0.085467,0.092572,0.081744,0.061221,0.310389,0.214525,0.106313,0
"3",0.000725,0.100535,0.093348,0.084056,0.304079,0.295328,0.168134,0
"4",0.013278,0.097427,0.090024,0.069827,0.338991,0.264674,0.137808,0
"5",0.046152,0.089246,0.079325,0.049438,0.390353,0.201599,0.088874,1
"6",0.066577,0.090057,0.077297,0.050044,0.351064,0.192095,0.085383,1
"7",0.045232,0.094471,0.080814,0.061929,0.302765,0.212083,0.110236,0
"8",0.024268,0.091471,0.085782,0.052196,0.426817,0.230712,0.106758,0
"9",0.03519,0.102571,0.093818,0.099262,0.260127,0.266048,0.189752,0
"10",0.054965,0.09106,0.077784,0.054856,0.321479,0.194017,0.092748,1
"11",0.024818,0.101278,0.084895,0.08749,0.179283,0.23339,0.211304,0
"12",0.016842,0.089411,0.079107,0.059725,0.297967,0.173553,0.084258,0
"13",0.067282,0.092864,0.084274,0.056302,0.37063,0.214544,0.099804,1
"14",0.002853,0.098823,0.084607,0.078831,0.244824,0.26117,0.15263,0
"15",0.046882,0.093393,0.083462,0.05503,0.378048,0.230155,0.106706,1
"16",0.023692,0.099622,0.092935,0.079727,0.342247,0.287988,0.158276,0
"17",0.056525,0.091329,0.080661,0.053389,0.360935,0.209784,0.094486,1
"18",0.008108,0.086969,0.071393,0.043222,0.342215,0.166311,0.071144,0
"19",0.07564,0.087943,0.073158,0.055965,0.251864,0.132137,0.069846,0
"20",0.012047,0.090701,0.085854,0.0512,0.419854,0.212652,0.092642,1
"21",0.058047,0.097543,0.080095,0.073548,0.238241,0.230659,0.150207,0
"22",0.040714,0.101044,0.083435,0.086743,0.177782,0.227072,0.174708,0
"23",0.034888,0.094585,0.085041,0.062641,0.352649,0.230306,0.116218,1
"24",0.069316,0.088981,0.077067,0.051172,0.362013,0.180624,0.080045,1
"25",0.057789,0.09363,0.085003,0.060888,0.404896,0.235193,0.117764,1
"26",0.007072,0.100436,0.087984,0.084811,0.24165,0.270707,0.168314,0
"27",0.017375,0.092852,0.087616,0.058425,0.362445,0.221915,0.101828,1
"28",0.080084,0.099099,0.091129,0.085768,0.280352,0.204741,0.116314,0
"29",0.008677,0.087869,0.074509,0.046285,0.355198,0.173956,0.074576,0
"30",0.012751,0.101956,0.091763,0.081289,0.298411,0.253404,0.173253,0
"31",0.06492,0.089947,0.075006,0.051816,0.288929,0.183885,0.086986,0
"32",0.054502,0.095044,0.086106,0.059643,0.362481,0.23645,0.112019,1
"33",0,0.099382,0.089137,0.079335,0.288038,0.236145,0.133857,0
"34",0.039612,0.096292,0.089216,0.068374,0.340862,0.254149,0.131654,1
"35",0.055068,0.094471,0.08374,0.061799,0.320974,0.235489,0.118045,1
"36",0.097344,0.090557,0.075767,0.045476,0.342996,0.170137,0.069432,0
"37",0.081425,0.090551,0.078368,0.058903,0.303942,0.191048,0.096192,0
"38",0.003128,0.090765,0.079378,0.052709,0.323709,0.187276,0.089505,0
"39",0.078299,0.105238,0.09643,0.096381,0.248771,0.227004,0.13892,0
"40",0.084476,0.090276,0.082323,0.048099,0.393373,0.186219,0.076576,1
