"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7"
"1",0.096,0.331,0.651,0.299,0.873,0.671,0.401
"2",0,0.292,0.563,0.232,0.734,0.563,0.322
"3",0.04,0.428,0.723,0.461,0.586,0.796,0.545
"4",0.017,0.24,0.46,0.333,0.43,0.395,0.274
"5",0.046,0.235,0.466,0.181,0.765,0.535,0.301
"6",0.045,0.378,0.505,0.366,0.448,0.587,0.423
"7",0.067,0.302,0.468,0.235,0.69,0.486,0.273
"8",0.082,0.271,0.441,0.321,0.452,0.482,0.342
"9",0.013,0.292,0.673,0.226,0.91,0.622,0.344
"10",0.024,0.296,0.634,0.222,0.897,0.679,0.403
"11",0.013,0.459,0.744,0.483,0.579,0.848,0.58
"12",0.055,0.394,0.642,0.332,0.664,0.708,0.433
"13",0.021,0.411,0.689,0.379,0.595,0.697,0.428
"14",0.098,0.377,0.512,0.419,0.435,0.788,0.564
"15",0.018,0.544,0.637,0.599,0.315,0.487,0.417
"16",0.069,0.228,0.407,0.206,0.662,0.43,0.25
"17",0.055,0.285,0.426,0.261,0.516,0.497,0.323
"18",0.064,0.271,0.378,0.238,0.439,0.484,0.303
"19",0,0.262,0.407,0.216,0.627,0.503,0.3
"20",0.058,0.463,0.486,0.538,0.214,0.679,0.651
"21",0.082,0.455,0.702,0.545,0.547,0.711,0.518
"22",0.098,0.271,0.373,0.122,0.594,0.378,0.189
"23",0.055,0.357,0.613,0.308,0.709,0.696,0.422
"24",0.024,0.37,0.664,0.317,0.657,0.604,0.364
"25",0.018,0.456,0.803,0.492,0.72,0.795,0.526
"26",0.08,0.505,0.772,0.719,0.366,0.55,0.457
"27",0.033,0.371,0.638,0.32,0.686,0.61,0.363
"28",0.091,0.306,0.531,0.248,0.666,0.583,0.338
"29",0.086,0.435,0.522,0.439,0.436,0.584,0.478
"30",0.065,0.282,0.644,0.226,0.849,0.647,0.366
"31",0.055,0.378,0.581,0.364,0.514,0.703,0.467
"32",0.049,0.31,0.454,0.327,0.427,0.609,0.404
"33",0.061,0.345,0.581,0.32,0.542,0.648,0.404
"34",0.024,0.439,0.556,0.621,0.17,0.696,0.616
"35",0.093,0.534,0.59,0.63,0.174,0.64,0.612
"36",0.035,0.382,0.614,0.376,0.629,0.677,0.457
"37",0.024,0.52,0.819,0.63,0.591,0.964,0.697
"38",0.012,0.275,0.635,0.207,0.872,0.589,0.322
"39",0.074,0.17,0.406,0.138,0.65,0.364,0.194
"40",0.085,0.263,0.544,0.161,0.776,0.458,0.23
"41",0.015,0.471,0.759,0.535,0.596,0.862,0.609
"42",0.047,0.349,0.573,0.264,0.721,0.676,0.402
"43",0.141,0.559,0.63,0.445,0.363,0.544,0.44
"44",0.158,0.254,0.287,0.292,0.269,0.223,0.23
"45",0.114,0.216,0.374,0.147,0.615,0.44,0.245
"46",0.107,0.37,0.474,0.421,0.314,0.609,0.48
"47",0.161,0.174,0.28,0.101,0.546,0.317,0.173
"48",0.155,0.317,0.408,0.354,0.32,0.338,0.337
"49",0.147,0.264,0.434,0.195,0.622,0.454,0.269
"50",0.184,0.253,0.418,0.225,0.507,0.419,0.277
"51",0.187,0.265,0.336,0.121,0.614,0.356,0.177
"52",0.106,0.338,0.387,0.329,0.278,0.558,0.394
"53",0.186,0.292,0.453,0.278,0.492,0.561,0.362
"54",0.2,0.342,0.493,0.336,0.598,0.57,0.353
"55",0.18,0.288,0.444,0.153,0.823,0.395,0.19
"56",0.117,0.476,0.547,0.615,0.15,0.596,0.541
"57",0.119,0.221,0.353,0.158,0.527,0.395,0.227
"58",0.183,0.258,0.412,0.161,0.737,0.42,0.203
"59",0.155,0.277,0.34,0.126,0.545,0.329,0.167
"60",0.131,0.282,0.51,0.278,0.624,0.622,0.4
"61",0.152,0.31,0.548,0.299,0.6,0.607,0.364
"62",0.188,0.435,0.47,0.299,0.527,0.462,0.289
"63",0.139,0.496,0.677,0.669,0.218,0.571,0.505
"64",0.137,0.279,0.442,0.161,0.804,0.449,0.219
"65",0.168,0.263,0.344,0.124,0.599,0.374,0.187
"66",0.111,0.543,0.657,0.57,0.388,0.548,0.443
"67",0.162,0.247,0.471,0.204,0.687,0.546,0.317
"68",0.103,0.354,0.474,0.336,0.53,0.505,0.323
"69",0.189,0.19,0.301,0.209,0.372,0.258,0.189
"70",0.171,0.279,0.375,0.147,0.634,0.378,0.197
"71",0.141,0.278,0.486,0.228,0.616,0.568,0.335
"72",0.121,0.233,0.366,0.14,0.572,0.449,0.252
"73",0.16,0.148,0.252,0.092,0.517,0.344,0.2
"74",0.19,0.43,0.43,0.29,0.393,0.377,0.231
"75",0.128,0.286,0.549,0.223,0.862,0.641,0.362
"76",0.119,0.293,0.527,0.257,0.57,0.625,0.385
"77",0.116,0.552,0.821,0.735,0.358,0.613,0.517
"78",0.113,0.29,0.565,0.228,0.768,0.609,0.359
"79",0.17,0.202,0.345,0.194,0.493,0.393,0.242
"80",0.127,0.555,0.583,0.732,0.083,0.685,0.707
"81",0.107,0.305,0.623,0.264,0.886,0.658,0.38
"82",0.185,0.239,0.401,0.181,0.564,0.442,0.254
"83",0.156,0.168,0.358,0.225,0.464,0.306,0.191
"84",0.163,0.372,0.585,0.308,0.638,0.644,0.395
"85",0.111,0.306,0.582,0.256,0.667,0.595,0.356
"86",0.101,0.363,0.56,0.326,0.627,0.654,0.409
"87",0.118,0.129,0.302,0.079,0.644,0.323,0.167
"88",0.193,0.277,0.371,0.133,0.601,0.36,0.184
"89",0.182,0.234,0.339,0.151,0.568,0.406,0.235
"90",0.151,0.292,0.358,0.134,0.579,0.353,0.18
"91",0.137,0.489,0.588,0.384,0.493,0.521,0.335
"92",0.144,0.261,0.472,0.226,0.672,0.557,0.322
"93",0.133,0.336,0.619,0.313,0.803,0.699,0.414
"94",0.295,0.058,0.085,0.042,0.351,0.13,0.068
"95",0.238,0.112,0.217,0.067,0.626,0.317,0.158
"96",0.219,0.175,0.299,0.195,0.454,0.337,0.233
"97",0.233,0.325,0.422,0.3,0.456,0.434,0.317
"98",0.234,0.255,0.439,0.139,0.73,0.425,0.198
"99",0.293,0.233,0.458,0.152,0.653,0.407,0.228
"100",0.206,0.397,0.481,0.317,0.479,0.478,0.305
"101",0.272,0.261,0.4,0.127,0.831,0.403,0.191
"102",0.277,0.282,0.405,0.22,0.476,0.348,0.208
"103",0.248,0.14,0.252,0.143,0.473,0.302,0.187
"104",0.288,0.283,0.441,0.199,0.569,0.458,0.262
"105",0.285,0.356,0.475,0.245,0.518,0.399,0.241
"106",0.27,0.253,0.381,0.136,0.726,0.38,0.184
"107",0.241,0.508,0.754,0.716,0.285,0.56,0.492
"108",0.222,0.076,0.156,0.028,0.572,0.27,0.131
"109",0.223,0.32,0.373,0.178,0.61,0.412,0.218
"110",0.214,0.089,0.185,0.119,0.395,0.218,0.134
"111",0.26,0.103,0.251,0.051,0.63,0.306,0.144
"112",0.279,0.333,0.438,0.324,0.432,0.332,0.25
"113",0.288,0.15,0.281,0.136,0.416,0.227,0.146
"114",0.285,0.165,0.27,0.163,0.436,0.273,0.187
"115",0.21,0.491,0.56,0.517,0.297,0.572,0.493
"116",0.291,0.238,0.402,0.131,0.629,0.34,0.175
"117",0.244,0.239,0.406,0.133,0.768,0.407,0.203
"118",0.263,0.252,0.404,0.14,0.785,0.392,0.186
"119",0.21,0.277,0.405,0.323,0.471,0.374,0.277
"120",0.296,0.161,0.25,0.179,0.325,0.208,0.153
"121",0.261,0.204,0.252,0.108,0.596,0.366,0.203
"122",0.286,0.25,0.385,0.178,0.637,0.372,0.213
"123",0.266,0.176,0.377,0.089,0.741,0.324,0.159
"124",0.287,0.272,0.397,0.228,0.437,0.456,0.284
"125",0.207,0.367,0.487,0.327,0.576,0.617,0.401
"126",0.245,0.297,0.501,0.246,0.561,0.466,0.288
"127",0.232,0.244,0.407,0.13,0.764,0.39,0.192
"128",0.268,0.261,0.344,0.112,0.61,0.369,0.182
